Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,2018-06-16,6380.01000000,6560.00000000,6320.86000000,6483.98000000,22277.24114700,2018-06-16 23:59:59.999,143760033.69408152,140470,12750.63578400,82290350.53863608,0
BTCUSDT,2018-06-17,6482.50000000,6589.03000000,6422.00000000,6449.61000000,19847.24768800,2018-06-17 23:59:59.999,129120718.76299886,129759,11208.65693300,72949865.16298054,0
BTCUSDT,2018-06-18,6444.06000000,6794.38000000,6380.00000000,6712.46000000,31821.43499500,2018-06-18 23:59:59.999,208570443.95997890,180773,17674.59269300,115843959.76406443,0
BTCUSDT,2018-06-19,6711.39000000,6841.74000000,6653.00000000,6741.21000000,24311.42114300,2018-06-19 23:59:59.999,163420093.79413501,160490,12849.74065900,86385611.98541340,0
BTCUSDT,2018-06-20,6740.00000000,6817.23000000,6551.81000000,6761.51000000,26359.75245200,2018-06-20 23:59:59.999,175935335.65057913,166074,13647.93353100,91142872.89139906,0
BTCUSDT,2018-06-21,6763.21000000,6795.00000000,6672.57000000,6718.84000000,25428.85404800,2018-06-21 23:59:59.999,171149859.23602844,159783,15152.49627400,101995867.72331425,0
BTCUSDT,2018-06-22,6717.69000000,6733.97000000,5918.94000000,6045.00000000,52157.37083300,2018-06-22 23:59:59.999,327460666.91451646,300515,25336.72043800,158994318.27114402,0
BTCUSDT,2018-06-23,6045.92000000,6260.00000000,6008.48000000,6149.98000000,26622.78858900,2018-06-23 23:59:59.999,162755765.84514262,170164,15110.74139900,92413061.16412095,0
BTCUSDT,2018-06-24,6149.98000000,6259.80000000,5750.00000000,6136.97000000,47445.99895500,2018-06-24 23:59:59.999,284095336.05789018,275996,25966.41724700,155558130.88157262,0
BTCUSDT,2018-06-25,6137.95000000,6350.00000000,6061.97000000,6252.00000000,39164.51530600,2018-06-25 23:59:59.999,242859915.80364608,218384,21986.05738400,136305269.99012784,0
BTCUSDT,2018-06-26,6252.00000000,6272.54000000,6035.00000000,6070.78000000,19377.24048400,2018-06-26 23:59:59.999,119676555.56449406,113431,9824.65959200,60710073.42453224,0
BTCUSDT,2018-06-27,6065.89000000,6190.43000000,5971.00000000,6133.73000000,19225.67109800,2018-06-27 23:59:59.999,117103011.80356834,99481,10381.01413600,63236432.02491027,0
BTCUSDT,2018-06-28,6134.73000000,6173.01000000,5827.00000000,5853.98000000,30585.26602600,2018-06-28 23:59:59.999,185247010.87925187,156241,16422.37815900,99598694.73730522,0
BTCUSDT,2018-06-29,5851.01000000,6300.00000000,5780.00000000,6197.92000000,33911.28727800,2018-06-29 23:59:59.999,201409363.91549843,212542,18727.19212800,111291346.32526272,0
BTCUSDT,2018-06-30,6197.92000000,6528.99000000,6186.03000000,6390.07000000,37919.61284000,2018-06-30 23:59:59.999,241568568.03107781,230915,20036.02572600,127666717.38353093,0
BTCUSDT,2018-07-01,6391.08000000,6441.06000000,6251.00000000,6356.81000000,27562.96597400,2018-07-01 23:59:59.999,175096501.49486907,183060,15580.03384800,98972791.71265254,0
BTCUSDT,2018-07-02,6360.82000000,6685.00000000,6271.62000000,6615.29000000,36230.45226400,2018-07-02 23:59:59.999,235524330.64865335,242589,18966.91090700,123205676.19274497,0
BTCUSDT,2018-07-03,6615.29000000,6679.35000000,6463.01000000,6513.86000000,38657.78169100,2018-07-03 23:59:59.999,254550438.13768883,232914,20503.62539900,135047837.81678847,0
BTCUSDT,2018-07-04,6511.01000000,6784.92000000,6441.11000000,6586.98000000,23571.89277700,2018-07-04 23:59:59.999,156277884.33011596,146203,12244.07090800,81263604.85511882,0
BTCUSDT,2018-07-05,6585.53000000,6712.00000000,6453.33000000,6529.20000000,35071.97289800,2018-07-05 23:59:59.999,230809190.30740513,216533,19214.78070200,126481460.00873661,0
BTCUSDT,2018-07-06,6529.20000000,6648.54000000,6425.00000000,6609.78000000,29397.09474800,2018-07-06 23:59:59.999,192230903.67599213,193854,16292.94515700,106560209.09449029,0
BTCUSDT,2018-07-07,6609.79000000,6818.16000000,6508.88000000,6756.98000000,23973.87688600,2018-07-07 23:59:59.999,158034155.17779143,145449,12894.82357900,85004234.47737304,0
BTCUSDT,2018-07-08,6753.48000000,6780.00000000,6667.44000000,6712.10000000,24622.94779400,2018-07-08 23:59:59.999,165941351.79836009,145349,13146.63264200,88613261.77225647,0
BTCUSDT,2018-07-09,6712.10000000,6802.06000000,6612.24000000,6662.12000000,26732.40655000,2018-07-09 23:59:59.999,179250573.66648534,147315,14384.13547700,96490394.64023181,0
BTCUSDT,2018-07-10,6662.78000000,6681.00000000,6263.00000000,6296.91000000,38560.67270200,2018-07-10 23:59:59.999,249099760.18974969,189913,19261.13585900,124490444.69885540,0
BTCUSDT,2018-07-11,6296.91000000,6406.00000000,6278.99000000,6378.07000000,28715.49848700,2018-07-11 23:59:59.999,182357469.02807090,151869,15667.90941200,99524638.10405177,0
BTCUSDT,2018-07-12,6378.07000000,6380.28000000,6070.00000000,6250.57000000,31306.66334800,2018-07-12 23:59:59.999,194325733.78750428,150985,16067.76661100,99754110.04002685,0
BTCUSDT,2018-07-13,6251.40000000,6350.00000000,6110.00000000,6214.57000000,26375.32528600,2018-07-13 23:59:59.999,164467999.80925834,144757,13191.15701600,82276362.81213074,0
BTCUSDT,2018-07-14,6214.57000000,6335.00000000,6178.00000000,6251.99000000,17783.07199900,2018-07-14 23:59:59.999,110959488.24719918,108052,9833.31302900,61362055.00500050,0
BTCUSDT,2018-07-15,6250.90000000,6395.00000000,6225.40000000,6353.01000000,22979.21150800,2018-07-15 23:59:59.999,145409822.74487660,114997,13590.24017500,85970280.53502200,0
BTCUSDT,2018-07-16,6354.15000000,6747.30000000,6330.40000000,6723.35000000,36204.87708000,2018-07-16 23:59:59.999,237104112.45049538,201733,20149.63480800,131922164.85268562,0
BTCUSDT,2018-07-17,6723.33000000,7468.99000000,6652.04000000,7317.44000000,52105.42345900,2018-07-17 23:59:59.999,364669305.03690641,276178,28049.11657000,195977152.69184417,0
BTCUSDT,2018-07-18,7317.44000000,7588.08000000,7225.38000000,7381.90000000,59487.64345000,2018-07-18 23:59:59.999,440669913.20835239,327949,31196.38231600,231133137.36801251,0
BTCUSDT,2018-07-19,7381.88000000,7576.28000000,7270.00000000,7466.21000000,41218.25643700,2018-07-19 23:59:59.999,305198281.13948622,235597,22682.95642100,167927663.73101328,0
BTCUSDT,2018-07-20,7468.86000000,7700.00000000,7273.00000000,7337.53000000,46140.31344700,2018-07-20 23:59:59.999,342862693.09590958,251391,24006.58462200,178428687.49420521,0
BTCUSDT,2018-07-21,7337.47000000,7458.47000000,7211.00000000,7398.78000000,28886.49029100,2018-07-21 23:59:59.999,212126417.22873152,164901,16427.38256200,120688066.37566296,0
BTCUSDT,2018-07-22,7399.25000000,7582.40000000,7335.50000000,7394.79000000,30270.21844000,2018-07-22 23:59:59.999,225619234.83744207,144711,17086.75829200,127390550.71923563,0
BTCUSDT,2018-07-23,7394.78000000,7833.00000000,7375.00000000,7721.01000000,41646.34667100,2018-07-23 23:59:59.999,320156546.58240985,219776,22756.44992600,174955411.03556776,0
BTCUSDT,2018-07-24,7721.65000000,8486.00000000,7696.00000000,8397.24000000,60121.16374900,2018-07-24 23:59:59.999,487117211.68189820,326329,32980.50832500,266991169.60952125,0
BTCUSDT,2018-07-25,8397.24000000,8491.77000000,8050.00000000,8175.64000000,48257.64912400,2018-07-25 23:59:59.999,398119757.80385012,277935,25447.80652600,209867505.76878370,0
BTCUSDT,2018-07-26,8175.63000000,8315.69000000,7850.06000000,7920.00000000,43223.48168200,2018-07-26 23:59:59.999,352101207.67995521,235681,22366.99499500,182431837.49948887,0
BTCUSDT,2018-07-27,7920.00000000,8285.00000000,7805.00000000,8188.57000000,43671.00589100,2018-07-27 23:59:59.999,350881696.75270696,227397,23168.93531900,186142745.18866939,0
BTCUSDT,2018-07-28,8188.57000000,8246.54000000,8067.00000000,8225.04000000,26215.17383900,2018-07-28 23:59:59.999,214357817.03140180,144170,13976.70868900,114326656.22009627,0
BTCUSDT,2018-07-29,8225.04000000,8294.51000000,8115.00000000,8211.00000000,25531.22618500,2018-07-29 23:59:59.999,209564023.05224951,144331,14226.69710900,116797668.87543960,0
BTCUSDT,2018-07-30,8210.99000000,8273.00000000,7866.00000000,8173.92000000,39692.41654200,2018-07-30 23:59:59.999,321599782.18069799,206911,20676.10006900,167753771.91739197,0
BTCUSDT,2018-07-31,8171.40000000,8180.00000000,7633.00000000,7730.93000000,48296.91558700,2018-07-31 23:59:59.999,379841367.20240225,239132,24273.18489100,190885799.45286343,0
BTCUSDT,2018-08-01,7735.67000000,7750.00000000,7430.00000000,7604.58000000,42582.31293200,2018-08-01 23:59:59.999,322252070.44348675,208008,22159.78561800,167734477.27458394,0
BTCUSDT,2018-08-02,7600.08000000,7709.46000000,7455.72000000,7525.71000000,37665.69668400,2018-08-02 23:59:59.999,285656680.70156358,175627,21216.83812600,160971512.85409074,0
BTCUSDT,2018-08-03,7525.71000000,7540.00000000,7282.44000000,7418.78000000,44669.48604700,2018-08-03 23:59:59.999,330599837.72855222,226727,23397.04183500,173144499.51146754,0
BTCUSDT,2018-08-04,7412.27000000,7494.81000000,6926.00000000,7009.84000000,36288.42601000,2018-08-04 23:59:59.999,262282965.48573316,199335,17770.55515600,128601932.84105053,0
BTCUSDT,2018-08-05,7009.84000000,7089.87000000,6882.29000000,7024.19000000,32894.84978200,2018-08-05 23:59:59.999,229992627.52322163,148658,18335.95634100,128216222.18516615,0
BTCUSDT,2018-08-06,7024.19000000,7160.00000000,6821.00000000,6934.82000000,32760.19164300,2018-08-06 23:59:59.999,229071781.11536670,177378,17486.15157600,122304301.71216843,0
BTCUSDT,2018-08-07,6935.00000000,7150.46000000,6670.00000000,6720.06000000,45438.47350100,2018-08-07 23:59:59.999,316365882.10316625,247202,24012.69686200,167343592.15417215,0
BTCUSDT,2018-08-08,6720.63000000,6721.54000000,6123.00000000,6285.00000000,59550.53631900,2018-08-08 23:59:59.999,382460776.49398139,305603,30204.48496900,194091707.79787876,0
BTCUSDT,2018-08-09,6283.27000000,6622.81000000,6178.60000000,6529.79000000,51941.18511100,2018-08-09 23:59:59.999,332880900.89059936,248573,28290.84888300,181381407.11016441,0
BTCUSDT,2018-08-10,6529.79000000,6575.88000000,6026.39000000,6144.01000000,59034.97490200,2018-08-10 23:59:59.999,374699380.94849149,289661,31034.53246800,197214827.29198258,0
BTCUSDT,2018-08-11,6148.13000000,6488.00000000,5971.00000000,6232.35000000,47133.41855500,2018-08-11 23:59:59.999,291056267.08922869,236173,26083.97142500,160978348.30636575,0
BTCUSDT,2018-08-12,6222.55000000,6472.30000000,6130.00000000,6308.33000000,38567.77071200,2018-08-12 23:59:59.999,243227298.87942723,190399,20954.74731400,132190051.41706526,0
BTCUSDT,2018-08-13,6308.56000000,6545.00000000,6145.04000000,6246.35000000,53895.82878300,2018-08-13 23:59:59.999,341552293.00730005,239602,29517.27626900,187178430.28020313,0
BTCUSDT,2018-08-14,6248.25000000,6250.33000000,5880.00000000,6188.08000000,50186.74509100,2018-08-14 23:59:59.999,303179556.36245032,252004,25530.65349800,154285607.85051606,0
BTCUSDT,2018-08-15,6188.08000000,6609.00000000,6172.11000000,6267.16000000,68806.68702600,2018-08-15 23:59:59.999,439109005.40343039,329413,37144.04216800,237077628.52971667,0
BTCUSDT,2018-08-16,6265.27000000,6480.00000000,6205.60000000,6311.75000000,48515.25461800,2018-08-16 23:59:59.999,307755605.16240387,228942,26023.54900700,165123672.32961881,0
